2015;20;2015.05.16.;0;0Ft;80;1348730Ft;7766;14710Ft;205116;1085Ft;1;19;20;27;34
2015;19;2015.05.09.;0;0Ft;97;1089310Ft;6831;16380Ft;169939;1280Ft;18;37;44;52;76
2015;18;2015.05.02.;0;0Ft;36;2756855Ft;3870;27155Ft;127720;1600Ft;8;65;67;69;82
2015;17;2015.04.25.;0;0Ft;36;2726480Ft;3797;27370Ft;118692;1705Ft;2;50;55;65;84
2015;16;2015.04.18.;0;0Ft;53;1860415Ft;4725;22095Ft;139425;1455Ft;25;56;57;81;86
2015;15;2015.04.11.;0;0Ft;75;1279280Ft;6592;15410Ft;175066;1130Ft;21;23;29;46;48
2015;14;2015.04.04.;0;0Ft;47;2116875Ft;5244;20090Ft;147278;1390Ft;2;33;38;70;77
2015;13;2015.03.28.;0;0Ft;34;2727040Ft;4573;21470Ft;132409;1540Ft;6;18;35;74;90
2015;12;2015.03.21.;0;0Ft;56;1620735Ft;4613;20830Ft;129754;1440Ft;18;31;36;52;59
2015;11;2015.03.14.;0;0Ft;56;1738025Ft;5030;20490Ft;147747;1355Ft;11;41;42;45;77
2015;10;2015.03.07.;0;0Ft;46;1845210Ft;6190;14520Ft;167385;1045Ft;13;17;19;46;60
2015;9;2015.02.28.;0;0Ft;49;1578995Ft;5018;16325Ft;140271;1135Ft;18;19;22;62;67
2015;8;2015.02.21.;0;0Ft;22;3376465Ft;2923;26910Ft;99358;1540Ft;1;45;64;73;86
2015;7;2015.02.14.;0;0Ft;34;2327085Ft;3149;26605Ft;96715;1685Ft;18;31;46;49;85
2015;6;2015.02.07.;0;0Ft;75;921545Ft;5074;14425Ft;121485;1170Ft;18;27;52;57;73
2015;5;2015.01.31.;0;0Ft;43;1544615Ft;3970;17715Ft;106323;1285Ft;27;35;42;55;71
2015;4;2015.01.24.;0;0Ft;24;2851625Ft;3105;23340Ft;102267;1380Ft;3;50;55;57;58
2015;3;2015.01.17.;0;0Ft;28;2496165Ft;2951;25080Ft;91268;1575Ft;63;68;69;75;86
2015;2;2015.01.10.;0;0Ft;135;460425Ft;8683;7580Ft;164999;775Ft;5;19;23;25;67
2015;1;2015.01.03.;0;0Ft;10;6127020Ft;1881;34490Ft;65981;1910Ft;46;54;55;70;85
2014;52;2014.12.27.;0;0Ft;29;1988390Ft;3275;18645Ft;97256;1220Ft;10;11;29;35;48
2014;51;2014.12.20.;0;0Ft;26;2326960Ft;2901;22080Ft;98340;1340Ft;6;7;40;57;67
2014;50;2014.12.13.;0;0Ft;30;2015140Ft;3236;19780Ft;120714;1030Ft;3;4;55;56;69
2014;49;2014.12.06.;0;0Ft;183;321410Ft;8435;7385Ft;154649;785Ft;7;19;23;44;66
2014;48;2014.11.29.;0;0Ft;44;1277295Ft;2812;21160Ft;75936;1525Ft;37;45;59;65;76
2014;47;2014.11.22.;0;0Ft;91;618250Ft;4139;14390Ft;90485;1280Ft;25;38;43;57;72
2014;46;2014.11.15.;0;0Ft;49;1167555Ft;3912;15485Ft;103212;1140Ft;9;19;57;61;62
2014;45;2014.11.08.;0;0Ft;14;3960320Ft;1964;29890Ft;63537;1795Ft;14;30;51;62;78
2014;44;2014.11.01.;0;0Ft;19;2593950Ft;1968;26515Ft;55876;1815Ft;37;62;66;85;90
2014;43;2014.10.25.;0;0Ft;47;1101905Ft;3055;17950Ft;79286;1345Ft;27;49;72;79;81
2014;42;2014.10.18.;0;0Ft;23;2374635Ft;2388;24215Ft;77794;1445Ft;10;17;61;63;73
2014;41;2014.10.11.;0;0Ft;21;2647925Ft;2262;26030Ft;73096;1565Ft;4;31;38;75;89
2014;40;2014.10.04.;0;0Ft;43;1241620Ft;4009;14100Ft;102739;1070Ft;8;14;19;30;34
2014;39;2014.09.27.;0;0Ft;25;2101530Ft;3393;16395Ft;83169;1300Ft;27;32;36;39;57
2014;38;2014.09.20.;0;0Ft;100;529215Ft;5748;9750Ft;116451;935Ft;2;7;12;25;76
2014;37;2014.09.13.;0;0Ft;22;2428080Ft;2394;23625Ft;76973;1430Ft;7;39;40;58;68
2014;36;2014.09.06.;1;387392635Ft;70;793275Ft;4717;12465Ft;104031;1100Ft;3;16;27;45;81
2014;35;2014.08.30.;0;0Ft;21;2599165Ft;3000;19265Ft;90999;1310Ft;19;53;60;66;67
2014;34;2014.08.23.;0;0Ft;37;1444205Ft;3044;18585Ft;77213;1425Ft;24;36;63;70;84
2014;33;2014.08.16.;0;0Ft;24;2332290Ft;2632;22520Ft;77170;1495Ft;6;52;57;68;86
2014;32;2014.08.09.;1;97974140Ft;43;1291130Ft;2713;21670Ft;75043;1525Ft;20;28;47;51;71
2014;31;2014.08.02.;1;192866270Ft;16;3443595Ft;1707;34175Ft;61199;1855Ft;23;60;76;84;86
2014;30;2014.07.26.;0;0Ft;46;1178115Ft;3991;14380Ft;98165;1135Ft;6;15;22;33;44
2014;29;2014.07.19.;1;2049176095Ft;182;417300Ft;9571;8400Ft;180194;870Ft;13;21;44;47;52
2014;28;2014.07.12.;0;0Ft;51;1500895Ft;4999;16215Ft;125770;1255Ft;13;47;68;70;86
2014;27;2014.07.05.;0;0Ft;16;4341245Ft;2466;29825Ft;86073;1660Ft;45;52;59;69;81
2014;26;2014.06.28.;0;0Ft;41;1637025Ft;3481;20415Ft;100099;1380Ft;12;26;65;66;83
2014;25;2014.06.21.;0;0Ft;38;1766980Ft;3909;18190Ft;114356;1210Ft;3;35;37;43;52
2014;24;2014.06.14.;0;0Ft;86;839870Ft;6612;11565Ft;146558;1015Ft;1;11;19;31;37
